Intitulé du poste,Les Études,Spécialités,Première générale,Première Technologique
"Chargé / chargée HSE (hygiène
 sécurité environnement)","Les études  Après le bac5 ans pour obtenir un diplôme d'ingénieur ou un master (dans les spécialités qualité, hygiène, sécurité, environnement ou dans les secteurs de l'environnement, de l'économie et du développement durable, de la gestion et du traitement des déchets, de la biologie, de la chimie...).    bac + 6    Mastère spé. Management de la qualité, de la sécurité et de l'environnement (CESI Ecole d'ingénieurs)     Mastère spé. manager des risques industriels    bac + 5    Diplôme d'ingénieur de l'École internationale du papier, de la communication imprimée et des biomatériaux de l'institut polytechnique de Grenoble     Diplôme d'ingénieur de l'École nationale supérieure d'agronomie et des industries alimentaires de l'université de Lorraine spécialité agronomie     Diplôme d'ingénieur de l'École nationale supérieure d'agronomie et des industries alimentaires de l'université de Lorraine spécialité industries alimentaires     Diplôme d'ingénieur de l'Institut national des sciences appliquées Centre Val de Loire spécialité gestion des risques     Diplôme d'ingénieur du CESI     Master mention chimie     Master mention risques et environnement",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Architecte,"Les études  Après le bac5 ans pour préparer le DE d'architecte, 1 an supplémentaire pour obtenir l'HMONP (habilitation à la maîtrise d'oeuvre en son nom propre), nécessaire pour exercer en libéral, ou le diplôme d'architecte.6 ans pour préparer le DPEA (diplôme propre aux écoles d'architecture) en design, scénographie, architecture navale...7 ans pour préparer le DSA (diplôme de spécialisation et d'approfondissement en architecture) en maîtrise d'ouvrage, patrimoine, projet urbain...    bac + 7    Diplôme de spécialisation et d'approfondissement en architecture : architecture et projet urbain     Diplôme de spécialisation et d'approfondissement en architecture et patrimoine     Diplôme de spécialisation et d'approfondissement en architecture et patrimoine, architecture de terre     Diplôme de spécialisation et d'approfondissement en architecture et projet urbain     Diplôme de spécialisation et d'approfondissement en architecture et risques majeurs    bac + 6    Habilitation à l'exercice de la maîtrise d'oeuvre en son nom propre    bac + 5    Diplôme d'architecte de l'institut national des sciences appliquées de Strasbourg     Diplôme d'Etat d'architecte     DPEA Architecture navale     DPEA Scénographe",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Conducteur / conductrice de travaux,"Les études  Après le bac5 ans pour préparer un diplôme d'ingénieur orienté vers le bâtiment ou les travaux publics.    bac + 6    Diplôme d'ingénieur spécialisé en ouvrages d'art, diplômé de l'Institut supérieur du bâtiment et des travaux publics    bac + 5    Diplôme d'ingénieur de CY Tech de CY Cergy Paris Université spécialité génie civil     Diplôme d'ingénieur de l'École centrale de Nantes spécialité bâtiment et travaux publics en partenariat avec l'ITII Pays de la Loire     Diplôme d'ingénieur de l'École nationale des travaux publics de l'Etat     Diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité génie civil     Diplôme d'ingénieur de l'École nationale supérieure des mines d'Alès de l'Institut Mines-Télécom spécialité bâtiment     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité bâtiment     Diplôme d'ingénieur de l'École polytechnique universitaire de Savoie de l'université de Chambéry spécialité bâtiment en partenariat avec l'ITII des Deux-Savoies     Diplôme d'ingénieur de l'École spéciale des travaux publics du bâtiment et de l'industrie spécialité énergétique de la construction en partenariat avec le CFA Ingénieurs 2000     Diplôme d'ingénieur de l'École supérieure d'ingénieurs des travaux de la construction de Metz     Diplôme d'ingénieur de l'École supérieure d'ingénieurs Réunion Océan Indien de l'université de la Réunion spécialité bâtiment et énergie     Diplôme d'ingénieur du CESI spécialité bâtiment et travaux publics     Diplôme d'ingénieur du CESI spécialité bâtiment et travaux publics en partenariat avec l'ITII Ile de France     Diplôme d'ingénieur du CNAM spécialité bâtiment et travaux publics",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Gérant / gérante de portefeuille,"Les études  Après le bacDe bac + 5 spécialisé dans la finance (diplôme d'école de commerce et de gestion, diplôme d'ingénieur, master) à bac + 6 (mastère).    bac + 6    Mastère spé. expert en banque et ingénierie financière    bac + 5    Diplôme d'ingénieur de l'École nationale de la statistique et de l'administration économique du Groupe des écoles nationales d'économie et statistique     Diplôme d'ingénieur de l'École supérieure d'ingénierie Léonard de Vinci     Diplôme d'ingénieur de Télécom SudParis de l'Institut Mines-Télécom     Diplôme de l'Institut d'études politiques de Lille     Diplôme de l'Institut d'études politiques de Paris     Magistère Banque, finance, assurances     Magistère Économie et finance internationales     Master mention finance     Master mention monnaie, banque, finance, assurance     Diplôme du programme grande école de Brest Business School     Diplôme du programme grande école de l'emlyon     Diplôme du programme grande école de l'ESCP BS     Diplôme du programme grande école de l'IPAG BS     Diplôme du programme grande école en management et gestion des entreprises de l'ESDES",Aucune spécialité indispensable,"Arts, Mathématiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Professeur des écoles / professeure
 des écoles","Les études  Après le bac5 ans pour obtenir un master, de préférence dans l'une des matières enseignées en primaire (en particulier lettres et mathématiques, plutôt que psychologie) et se présenter au concours de recrutement de l'Éducation nationale. On peut passer le CRPE (concours de recrutement de professeur des écoles) en M2 (bac + 5).    bac + 5    Master mention métiers de l'enseignement, de l'éducation et de la formation - premier degré",Aucune spécialité indispensable,Mathématiques,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Réceptionniste,"Les études  Après la 3e3 ans pour préparer le bac technologique sciences et technologies de l'hôtellerie et de la restauration (STHR).Après le bac1 an pour obtenir le CS accueil-réception.2 ans pour préparer le BTS management en hôtellerie restauration, option management d'unité d'hébergement.    bac + 1    MC (futur CS) Accueil réception    bac ou équivalent    Bac pro Métiers de l'accueil     Bac techno STHR Sciences et technologies de l'hôtellerie et de la restauration    bac + 2    BTS Management en hôtellerie restauration option C management d'unité d'hébergement",Aucune spécialité indispensable,Arts,STHR Sciences et technologies de l'hôtellerie et de la restauration
"Constructeur / constructrice
 de routes et d'aménagements urbains",Les études  Après la 3e2 ans pour préparer le CAP constructeur de routes et d'aménagements urbains.3 ans pour préparer le bac professionnel travaux publics.    CAP ou équivalent    CAP Constructeur d'ouvrages en béton armé     CAP constructeur de routes et d'aménagements urbains     TP maçon en voirie et réseaux divers    bac ou équivalent    Bac pro travaux publics,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Ingénieur / ingénieure
 R&D en énergies renouvelables","Les études  Après le bac5 ans d'études pour préparer un diplôme d'ingénieur généraliste ou spécialisé en mécanique, micromécanique, électronique, électricité, énergétique, thermique, automatismes... ou un master du domaine de l'énergie (procédés et traitements des énergies renouvelables)...    bac + 6    Mastère spé. Efficacité énergétique et environnementale (CESI Ecole d'ingénieurs)     Mastère spé. Nouvelles technologies de l'énergie (ENSEEIHT - Toulouse INP - ENSIACET - Toulouse INP)    bac + 5    Diplôme d'ingénieur de l'École Centrale de Lille de Centrale Lille Institut     Diplôme d'ingénieur de l'École centrale de Lyon     Diplôme d'ingénieur de l'École nationale supérieure d'arts et métiers     Diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Poitiers de l'université de Poitiers spécialité énergétique et environnement     Diplôme d'ingénieur de l'École nationale supérieure de chimie de Rennes     Diplôme d'ingénieur de l'École nationale supérieure des industries chimiques de l'université de Lorraine     Diplôme d'ingénieur de l'École nationale supérieure des mines de Nancy de l'université de Lorraine     Diplôme d'ingénieur de l'École nationale supérieure de techniques avancées     Diplôme d'ingénieur de l'École nationale supérieure de techniques avancées Bretagne     Diplôme d'ingénieur de l'École nationale supérieure en génie des technologies industrielles de l'université de Pau spécialité génie des procédés     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université de Nantes spécialité thermique énergétique     Diplôme d'ingénieur de l'École polytechnique universitaire de Savoie de l'université de Chambéry spécialité bâtiment     Diplôme d'ingénieur de l'Institut national des sciences appliquées de Lyon spécialité génie énergétique et génie de l'environnement     Diplôme d'ingénieur de l'Institut national des sciences appliquées de Strasbourg spécialité génie énergétique     Diplôme d'ingénieur de l'Institut Polytechnique UniLaSalle spécialité génie de l'environnement     Diplôme d'ingénieur de l'Institut supérieur des biotechnologies de Paris     Diplôme d'ingénieur de l'université de Perpignan spécialité énergétique     Diplôme d'ingénieur de l'université de technologie de Belfort-Montbéliard spécialité énergie et génie électrique     Master mention économie de l'environnement, de l'énergie et des transports     Master mention énergie     DHET Nouvelles technologies de l'énergie",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Formulateur / formulatrice,"Les études  Après le bacLe recrutement se situe au niveau bac + 2 ou, de plus en plus, à bac + 3. 2 ans pour obtenir le BTS bioanalyses et contrôles. 3 ans pour obtenir le BUT chimie ou une licence professionnelle en formulation de l'Isipca (1 an après un bac + 2) ; 5 ans pour un diplôme d'ingénieur ou un master en formulation.    bac + 3    BUT chimie parcours matériaux et produits formulés     Licence pro mention chimie : formulation    bac + 2    BTS Bioanalyses et contrôles     BTS métiers de l'esthétique, de la cosmétique et de la parfumerie option C cosmétologie",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Biologiste en environnement,"Les études  Après le bac8 ans d'études pour décrocher un doctorat en biologie, biologie cellulaire et moléculaire, génétique, pharmacologie, biologie végétale ou animale, toxicologie...",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
